ICSD,kappa_exp,composition,kappa_latt_comp
603713.0,,Hf1 Te2,0.22
24155.0,,Mo1 Te2,0.22
650993.0,,S2 Sn1,0.22
24592.0,,Se2 Si1,0.22
40824.0,,Ga1 S1,0.24
660273.0,,In2 S4 Zn1,0.25
181506.0,,S2 Ti1,0.25
604434.0,,S2 Zr1,0.25
43328.0,,Ga1 Te1,0.26
62379.0,,Cr2 Si2 Te6,0.27
17008.0,,In2 Se3,0.27
64778.0,,O1 Pb1,0.29
104188.0,,Se4 Ti1 Zr1,0.29
78941.0,,Al2 Te5,0.3
626810.0,,Cr1 Si1 Te3,0.3
62340.0,,Ga1 In1 S3,0.31
638846.0,,Hf1 S3,0.31
26858.0,,S2 Si1,0.31
638898.0,,Hf1 Se3,0.32
23724.0,,P1 Si1,0.32
84301.0,,Cu2 Na1 Nb1 S4,0.34
637492.0,,Ge1 P1,0.35
86496.0,,Se6,0.35
656451.0,,Ir1 Nb1 Te4,0.36
83363.0,,Al2 Mg1 Se4,0.37
169617.0,,Hg1 S1,0.37
85509.0,,Hf1 Te5,0.38
98661.0,,Hg2 N6,0.38
100706.0,,Fe1 Ga2 S4,0.39
48145.0,,Se9 V2,0.39
656712.0,,Au1 Cs1 S1,0.4
41026.0,,Co2 Nb4 Pd1 Se12,0.4
639202.0,,Hg1 Se1,0.4
501.0,,In2 Te5,0.4
645323.0,,Nb1 S3,0.4
8179.0,,Nb2 Se9,0.4
652233.0,,Se3 Zr1,0.4
153457.0,,As1 Si1,0.43
71520.0,,Fe1 Nb1 Te2,0.44
22251.0,,Se1,0.45
75001.0,,Al1 Si1 Te3,0.46
71652.0,,Au1 Rb1 Te1,0.46
82541.0,,Au3 Rb1 Se2,0.46
66356.0,,In1 Si1 Te3,0.47
43098.0,,P2 Si1,0.47
648838.0,,Pd1 Se2,0.47
611405.0,,As2 Si1,0.48
180398.0,,Ba1 O2,0.49
67976.0,,Cs2 S8 Sb4,0.5
639251.0,,Hg1 Te1,0.5
42072.0,,S3 Ti1,0.5
67977.0,,Cs1 S6 Sb1,0.51
402190.0,,Au1 Rb1 Se1,0.52
413739.0,,Cd4 K6 Se13 Sn3,0.54
59230.0,,Ga2 Ni1 S4,0.54
637796.0,,Ge1 S3 Sn1,0.54
182745.0,,Hg3 S4 Tl2,0.54
20785.0,,Cd1 Ga1 In1 S4,0.55
41928.0,,Al2 Mg2 Se5,0.56
55129.0,,Rb2 Te1,0.56
651485.0,,S3 Zr1,0.56
40759.0,,Au1 K1 Se1,0.57
36368.0,,S4 Ti1 Tl4,0.57
74848.0,,Cd1 Hg1 O2,0.58
78978.0,,Au3 Rb3 Sb2,0.59
77994.0,,Rb2 Te3,0.59
71654.0,,Au1 Rb1 S1,0.6
83350.0,,Rb2 Te2,0.6
35498.0,,S2 Sb1 Tl1,0.6
17058.0,,S5 Sb3 Tl1,0.61
380341.0,,Au1 Bi1 K2,0.62
32551.0,,Fe2 Ga2 S5,0.62
409645.0,,In1 S1,0.62
202528.0,,B1 S3 Tl3,0.63
100161.0,,Ge1 S4 Tl4,0.63
58793.0,,Bi1 K3,0.64
419757.0,,O2 Si1,0.64
411603.0,,S11 Ta2 Tl4,0.64
408685.0,,Au2 Cs2 S4 Sn1,0.65
14112.0,,Ge1 Pb1 S4 Tl2,0.65
30734.0,,Rb2 Te5,0.65
87463.0,,Ag1 Rb1 Se4,0.66
95825.0,,Au5 O2 Rb7,0.66
75346.0,,In1 Rb1 Te2,0.67
48152.0,,S3 Sn1 Tl2,0.67
78977.0,,Au3 K3 Sb2,0.68
32561.0,,Hg1 O1,0.68
84001.0,,Au1 K1 Se5,0.69
21029.0,,Hg1 N6,0.69
74844.0,,Rb4 Se6 Sn2,0.69
412479.0,,Ag2 K1 Nb1 Se4,0.7
30119.0,,Al2 O11 Si4,0.7
656711.0,,Au1 K1 S1,0.7
82556.0,,Au6 Rb4 S5,0.7
81548.0,,Fe2 Rb1 Te3,0.7
261210.0,,Hf1 S4 Tl4,0.7
14030.0,,Rb1 Sb1,0.7
201422.0,,S4 Sn1 Tl4,0.7
54507.0,,Au1 Rb2 S4 Sb1,0.71
417875.0,,Cs1 Ge1 S5 Ta1,0.71
51500.0,,O3,0.71
649525.0,,Pt1 Rb2 Te2,0.71
26267.0,,Pt3 Rb2 S4,0.71
280591.0,,Rb4 Sb4,0.71
281723.0,,Cs1 Ga1 S3,0.72
14094.0,,Cs2 S3,0.72
201073.0,,Cs2 S5,0.72
53901.0,,Ge1 S2 Tl1,0.72
96741.0,,K2 Te2,0.73
14093.0,,Rb2 Se3,0.73
409381.0,,As6 Rb4,0.74
200474.0,,Cs2 S2,0.74
404225.0,,Cu1 Rb1 Se4,0.74
81547.0,,Fe2 Rb1 Se3,0.74
63623.0,,Hg1 K1 S3 Sb1,0.74
261208.0,,S4 Tl4 Zr1,0.74
402423.0,,Ag1 Nb1 Rb2 Se4,0.75
300217.0,,Al1 Rb6 Sb3,0.75
607619.0,,Al2 Fe1 S4,0.75
380340.0,,Au1 K2 Sb1,0.75
72975.0,,Bi1 Cs1 S2,0.75
648727.0,,Pd1 Rb2 Te2,0.75
650057.0,,Rb2 Se4 W1,0.75
416489.0,,Au1 K1 N12,0.76
79087.0,,Au1 O1 Rb3,0.76
85581.0,,Au2 Cd2 Cs2 S4,0.76
640.0,,Ge4 S10 Tl4,0.76
73410.0,,In1 K1 Te2,0.76
59242.0,,K2 Se4 W1,0.76
2194.0,,Rb2 S7 Sb4,0.76
33531.0,,S3 Sn2 Tl2,0.76
402632.0,,Ag1 Hf1 Rb1 Te3,0.77
281352.0,,Cs4 Ge2 S8,0.77
40781.0,,Fe1 Rb1 Se2,0.77
300234.0,,K4 Se6 Sn2,0.77
33895.0,,Pd3 Rb2 Se4,0.77
415479.0,,Rb1 Se2 V1,0.77
261788.0,,Au1 Bi1 Na2,0.78
200798.0,,Cs1 S2 Sb1,0.78
73008.0,,Cs2 S6 Sn2,0.78
73177.0,,Rb2 Se2,0.78
410735.0,,Rb2 Te3 Zr1,0.78
78161.0,,S2 Tl2,0.78
402875.0,,Au1 K1 S5,0.79
73085.0,,B1 S3 Tl1,0.79
281168.0,,Bi1 Cs1 Ge1 S4,0.79
626992.0,,Cs1 Ga1 S2,0.79
183207.0,,Cs2 S1,0.79
2090.0,,Ge1 Pb1 S3,0.79
417874.0,,Ge1 Rb1 S5 Ta1,0.79
96742.0,,K2 Te3,0.79
650044.0,,Rb3 Sb1,0.79
52202.0,,S1 Tl1,0.79
416294.0,,Ag1 Rb3 Se8 Sn3,0.8
84003.0,,Au1 K1 Se2,0.8
54262.0,,K2 Mo3 Se18,0.8
40432.0,,K2 Pt1 Te2,0.8
65460.0,,Mn1 Rb2 Te2,0.8
603672.0,,Mo3 Rb1 Te3,0.8
16318.0,,Pb2 Se4 Si1,0.8
261443.0,,Rb2 S1,0.8
100321.0,,Rb2 S5,0.8
409619.0,,Cs3 S4 Sb1,0.81
200517.0,,Ge1 O5 Pb3,0.81
78976.0,,Ni3 Rb2 Se4,0.81
50462.0,,Ag1 Rb2 Se4 V1,0.82
106292.0,,Au1 Sb1 Sr1,0.82
91308.0,,Au3 O2 Rb5,0.82
202552.0,,Au6 K4 S5,0.82
421486.0,,Bi1 Ge1 K1 S4,0.82
616748.0,,Bi1 K1 Mg1,0.82
409176.0,,Cs4 S6 Si2,0.82
84305.0,,Cu1 Nb1 Rb2 Se4,0.82
641351.0,,K3 Sb1,0.82
100322.0,,Rb2 Se5,0.82
154182.0,,Ba1 S3 V1,0.83
59868.0,,Cs3 S4 Ta1,0.83
69439.0,,Pt4 Rb2 Se6,0.83
412594.0,,As1 Rb1,0.84
281169.0,,Bi1 Cs1 S4 Si1,0.84
281167.0,,Bi1 Ge1 Rb1 S4,0.84
413308.0,,Hg1 K2 Se4 Sn1,0.84
604500.0,,K1 Mo3 Te3,0.84
56788.0,,Rb1 S2 Sb1,0.84
281586.0,,Rb2 S4 W1,0.84
79086.0,,Au1 K3 O1,0.85
620064.0,,Cd1 K1 Sb1,0.85
2240.0,,Ge2 S6 Tl4,0.85
56529.0,,K1 Sb1,0.85
44680.0,,K1 Sb1 Zn1,0.85
412385.0,,S3 Ta1 Tl1,0.85
391170.0,,B1 Cs3 S3,0.86
73086.0,,B3 S10 Tl3,0.86
65667.0,,Hf1 S3 Sn1,0.86
25346.0,,In1 Na1 Te2,0.86
69438.0,,K2 Pt4 Se6,0.86
40431.0,,Pt1 Rb2 Se2,0.86
107308.0,,Al2 Mg1 S4,0.87
416488.0,,Au1 N12 Rb1,0.87
15116.0,,Au1 O2 Rb1,0.87
8003.0,,Bi2 S5 Tl4,0.87
74500.0,,Hg1 K2 S2,0.87
641300.0,,K2 Pd3 Se4,0.87
648455.0,,Pb2 S5 Sb2,0.87
41886.0,,Pd3 Rb2 S4,0.87
71223.0,,As2 Rb2 Sn1,0.88
280564.0,,Cs6 S27 Ti6,0.88
32034.0,,Ga2 Te5,0.88
600863.0,,In1 S2 Tl1,0.88
153907.0,,K2 Se4 Sn2,0.88
410734.0,,K2 Te3 Zr1,0.88
156481.0,,O8,0.88
419402.0,,Rb1 Sb2,0.88
35041.0,,S6 Si2 Tl4,0.88
300171.0,,Ga2 K6 Te6,0.89
280286.0,,K3 Na1 Se8 Sn3,0.89
62372.0,,K4 Se8 Sn3,0.89
16317.0,,Pb2 S4 Si1,0.89
85582.0,,Au2 Cd2 Rb2 S4,0.9
421424.0,,Ba2 Bi2 Zn1,0.9
632405.0,,Fe1 K1 Se2,0.9
99505.0,,Fe2 Rb1 S3,0.9
73693.0,,Ge1 In1 K1 S4,0.9
639159.0,,Hg1 Rb6 Se4,0.9
85599.0,,Hg3 Rb2 S8 Sn2,0.9
420088.0,,K2 Te2 Zn1,0.9
604516.0,,Mo3 Rb1 Se3,0.9
300237.0,,Na2 Se3 Sn1,0.9
656782.0,,S3 Sn2,0.9
169941.0,,S7 Sb4 Sn1,0.9
90872.0,,Ag3 Rb1 Te2,0.91
44703.0,,Al1 K1 Te2,0.91
2839.0,,Bi2 In4 S9,0.91
1264.0,,K2 Se3,0.91
410672.0,,K4 S11 Ta2,0.91
1238.0,,K6 Si2 Te6,0.91
402643.0,,Ag3 K1 Se2,0.92
402573.0,,As2 Hg1 K4,0.92
41168.0,,Ba1 In2 Te4,0.92
79200.0,,Bi3 K1 S5,0.92
420087.0,,Cd1 K6 Te4,0.92
73324.0,,Cu1 K2 Nb1 Se4,0.92
281505.0,,Hg3 K2 S8 Sn2,0.92
49523.0,,Nb2 Pd3 Se8,0.92
14092.0,,Rb2 S3,0.92
80766.0,,Rb2 Se5 Sn2,0.92
300168.0,,Al2 K6 Te6,0.93
60617.0,,As2 Rb2 Si1,0.93
402000.0,,Au1 K3 Se2,0.93
23255.0,,Au1 Na2 Sb1,0.93
78745.0,,B2 Cs2 S4,0.93
65459.0,,K2 Mn1 Te2,0.93
280054.0,,Mo1 Rb2 S4,0.93
201423.0,,S12 Sn5 Tl4,0.93
35641.0,,S5 Sb2 Sn2,0.93
281424.0,,Cu1 Pd1 Rb1 Se5,0.94
603641.0,,Mo3 Na1 Te3,0.94
183248.0,,Pb1 S1,0.94
95557.0,,S3 Sb2,0.94
50461.0,,Ag1 K2 Se4 V1,0.95
50463.0,,Ag1 Nb1 Rb2 S4,0.95
300201.0,,Au1 K2 P1,0.95
67391.0,,Co1 Rb2 Se2,0.95
411848.0,,Cs4 S14 Zr3,0.95
44332.0,,K1 Na2 Sb1,0.95
410863.0,,K6 Se6 Sn2,0.95
2267.0,,O2 Pb1 Rb2,0.95
61169.0,,O3 Pb1 Ti1,0.95
402363.0,,Rb3 S4 Sb1,0.95
98453.0,,Ag2 S1,0.96
100830.0,,Cu3 K1 Te2,0.96
73692.0,,Ga1 K1 S4 Sn1,0.96
300158.0,,Ga1 K1 Sb4,0.96
603185.0,,K1 La1 Se4 Si1,0.96
603628.0,,K1 Mo3 Se3,0.96
412478.0,,Ag3 K3 Nb2 S8,0.97
281166.0,,Bi1 Rb1 S4 Si1,0.97
641277.0,,K2 Ni3 Se4,0.97
72386.0,,K2 Se8 Sn4,0.97
73327.0,,K3 Nb1 Se4,0.97
65452.0,,K6 Mn1 Te4,0.97
409953.0,,Na4 Si4,0.97
24805.0,,O2 Rb2 Sn1,0.97
51115.0,,Rb3 S4 Ta1,0.97
248222.0,,B1 Ba1 Bi1 S4,0.98
422272.0,,Ba1 Cd1 K2 Sb2,0.98
71302.0,,Cu2 K1 Nb1 Se4,0.98
79121.0,,In4 Te3,0.98
73175.0,,Rb2 S2,0.98
66841.0,,Ag1 Rb2 S4 V1,0.99
12158.0,,Cu1 K1 Te1,0.99
409729.0,,Ge2 Rb4 S6,0.99
65457.0,,Mn1 Rb2 Se2,0.99
644182.0,,Mo1 Rb2 Se4,0.99
55237.0,,Ag1 Te1,1.0
163982.0,,Ag3 Cu1 S2,1.0
617021.0,,Bi2 S3,1.0
200794.0,,Bi3 Cs1 S5,1.0
84303.0,,Cu1 K2 Se4 V1,1.0
633208.0,,Fe1 Rb1 S2,1.0
170601.0,,Ge2 K2 Pb1 S6,1.0
65184.0,,P6 Rb4,1.0
26332.0,,S13 Sb6 Sn4,1.0
84004.0,,Au1 Na1 Se2,1.01
300170.0,,Ga2 K6 Se6,1.01
300163.0,,Al2 Na6 Te6,1.02
98522.0,,B18 Cs8 S18,1.02
421485.0,,Bi1 K1 S4 Si1,1.02
84304.0,,Cu1 Nb1 Rb2 S4,1.02
281504.0,,Ge2 Hg3 K2 S8,1.02
77181.0,,In1 K2 Na1 Sb2,1.02
56388.0,,In5 S6 Tl1,1.02
40430.0,,K2 Pt1 Se2,1.02
603622.0,,Mo3 Rb1 S3,1.02
78788.0,,Na2 Pt4 Se6,1.02
654296.0,,P3 Rb2,1.02
300157.0,,Al1 K1 Sb4,1.03
71593.0,,B1 S2 Tl1,1.03
422273.0,,Cd1 K2 Sb2 Sr1,1.03
41323.0,,Cs1 Na1 S1,1.03
98476.0,,Cu1 Hf2 Na1 Se5,1.03
281423.0,,Cu1 K1 Pd1 Se5,1.03
41167.0,,In2 Sr1 Te4,1.03
1412.0,,K2 O3 Pb2,1.03
24816.0,,O3 Rb2 Sn2,1.03
52586.0,,Ag1 K1 Se1,1.04
44701.0,,Al1 Na1 Te2,1.04
609963.0,,As1 Cd1 K1,1.04
300190.0,,As2 Cd1 K4,1.04
85583.0,,Au4 Cd1 K2 S4,1.04
73889.0,,Cu1 Na1 Te3 Zr1,1.04
99507.0,,Fe2 K1 S3,1.04
300207.0,,In1 S3 Sb1,1.04
414188.0,,Li1 Rb2 S4 Ta1,1.04
603625.0,,Mo3 Na1 Se3,1.04
73711.0,,S3 Sn1 Zr1,1.04
90119.0,,Ag2 K2 Se4 Sn1,1.05
88849.0,,Ba2 Cd1 Te3,1.05
89586.0,,Fe1 K3 Se3,1.05
409454.0,,Fe2 Rb3 Se4,1.05
635281.0,,Ga1 S2 Tl1,1.05
67276.0,,K1 Na1 Te1,1.05
51114.0,,Nb1 Rb3 S4,1.05
26259.0,,Pt1 Rb2 S2,1.05
409547.0,,Au1 Na1 O2,1.06
280634.0,,Cs4 S14 Ti3,1.06
71512.0,,Cu8 K4 Te11,1.06
639158.0,,Hg1 Rb6 S4,1.06
24118.0,,K2 Mo3 O10,1.06
604788.0,,Ag3 Au1 Te2,1.07
409653.0,,As1 K1,1.07
418886.0,,Ba11 Cd6 Sb12,1.07
419821.0,,Cs1 Ga3 S5,1.07
639060.0,,Hg1 K6 Se4,1.07
23253.0,,In2 Rb4 S5,1.07
72379.0,,K2 Se5 Sn2,1.07
26473.0,,Na1 Sb1,1.07
31859.0,,Bi2 Pb1 S4,1.08
409178.0,,Ca1 Rb1 Sb1,1.08
30752.0,,K1 Mo3 S3,1.08
60138.0,,K1 S2 Sb1,1.08
648724.0,,Pd1 Rb2 Se2,1.08
36584.0,,Rb2 Se1,1.08
409804.0,,Rb4 S6 Si2,1.08
79615.0,,B3 Rb3 S6,1.09
97427.0,,Bi2 Cd1 Cs2 S5,1.09
84302.0,,Cu1 Rb2 S4 V1,1.09
73581.0,,Ag6 K2 S4,1.1
300137.0,,As2 In1 K2 Na1,1.1
2489.0,,Au2 Ba1 S4 Sn1,1.1
411609.0,,B1 Rb3 S3,1.1
280022.0,,Ba5 Sb4,1.1
77274.0,,Ga1 K6 Na3 Sb4,1.1
