ICSD,kappa_exp,composition,kappa_latt_comp
659166.0,,Ba1 Cu1 S3 Y1,2.6
49624.0,,Na4 O3 Sn1,2.6
72303.0,,Fe1 Na6 S4,2.61
168447.0,,Na2 Se1,2.61
161763.0,,Ga2 Ge1 Li2 S6,2.62
249873.0,,Cd1 Li2 S4 Sn1,2.64
37012.0,,Co1 Na6 S4,2.65
44707.0,,Na3 S4 Sb1,2.65
409134.0,,Al2 P4 Sr3,2.66
409664.0,,Bi1 Ca1 K1,2.66
10005.0,,Cu2 Ge1 S4 Sr1,2.66
412920.0,,K2 O9 Si3 Ti1,2.66
27331.0,,La1 O2 Rb1,2.66
56532.0,,Li1 In1 Se2,2.66
80652.0,,Ba2 Hf1 S4,2.67
619292.0,,Ca1 Ga2 S4,2.67
97557.0,,Cu1 K1 S4 Y2,2.67
71594.0,,B2 S4 Sr1,2.68
79705.0,,K2 O6 Si2 Zn1,2.68
659165.0,,Ba1 Cu1 S3 Sc1,2.69
23638.0,,S3 Sr1,2.7
280226.0,,Al1 Li1 Te2,2.71
165626.0,,Ba1 Cr1 S2,2.71
628244.0,,Cu1 La3 S7 Si1,2.71
23519.0,,Cu2 La6 S14 Si2,2.71
156238.0,,Cu6 Ge1 S8 W1,2.72
413382.0,,Ca3 O1 Si1,2.76
42392.0,,Cr1 Na1 Se2,2.76
2019.0,,Fe1 Mo2 S4,2.76
88843.0,,Ge2 K2 O7 Zr1,2.76
18107.0,,Ba1 N6,2.77
44942.0,,K1 La1 S2,2.77
24020.0,,Mn1 Se2,2.77
75223.0,,B1 Li3 S3,2.79
620169.0,,Cd1 Mo6 S8,2.79
606339.0,,Al1 Cd1 La3 S7,2.8
281271.0,,Ba2 Ge2 O8 Ti1,2.8
609259.0,,Al2 S4 Sr1,2.81
620416.0,,Cd1 Se2,2.81
53093.0,,In1 Li1 S2,2.81
19026.0,,O9 Rb2 Si3 Ti1,2.81
409588.0,,Ba2 O7 Si2 Zn1,2.82
2533.0,,Hg1 Mo1 O4,2.82
25646.0,,Cd1 Ga2 Te4,2.84
6321.0,,In4 O7 Rb2,2.84
82371.0,,As2 Sn2 Sr1,2.85
25004.0,,Cd1 K2 O2,2.85
19028.0,,O9 Rb2 Si3 Sn1,2.85
36659.0,,Ba2 O3 Zn1,2.86
422580.0,,Ca2 Cd1 P2,2.87
50557.0,,Se1 Sn1,2.87
28749.0,,Ag1 Ga1 Te2,2.89
39607.0,,O3 Pb1 Zr1,2.89
34453.0,,Ba2 O8 Si2 Ti1,2.9
620457.0,,Cd1 Se4 Y2,2.9
2018.0,,Co1 Mo2 S4,2.9
154372.0,,Fe2 K4 O5,2.9
100065.0,,As2 Ca1 Cd2,2.91
202818.0,,Na4 O4 Sn1,2.91
608324.0,,Al1 La3 S7 Zn1,2.93
100045.0,,Ca1 Mg2 Sb2,2.93
652213.0,,Se2 Zn1,2.93
6245.0,,Ba1 O3 Si1,2.94
79536.0,,Cu2 Na2 S4 Zr1,2.94
153302.0,,Ge1 N2 Sr2,2.94
25641.0,,Al2 Hg1 Te4,2.96
23416.0,,Ca2 Ge1 S4,2.96
2195.0,,Cd2 Na14 O9,2.98
183994.0,,Cu3 Nb1 S4,2.98
653048.0,,Te1,2.98
82242.0,,Hg1 O3 V1,2.99
16264.0,,K2 O3 Zr1,2.99
30915.0,,Ba1 Cd2 P2,3.0
154626.0,,Cu1 Ge1 S7 Y3,3.0
100687.0,,In2 Pb1 S4,3.0
38327.0,,K1 Na1 O2 Zn1,3.0
21036.0,,Na6 O5 Pb1,3.0
83259.0,,Ca2 O6 Pd1 W1,3.01
281259.0,,Ga1 N3 Sr3,3.01
626322.0,,Cr1 Mo2 S4,3.02
626299.0,,Cr2 Mn1 Se4,3.02
644314.0,,Mo2 S4 V1,3.02
608513.0,,Al1 Mn1 S7 Y3,3.03
409568.0,,Pd1 Se1,3.03
51123.0,,Cr1 La1 S3,3.04
95120.0,,Ag4 Ge2 Hg1 S7,3.05
10217.0,,Ba1 Na2 O6 Si2,3.05
2269.0,,Ga2 K6 O6,3.05
642809.0,,Mg3 Sb2,3.05
643804.0,,Mn1 Te1,3.05
62066.0,,Au1 Na3 O2,3.06
603354.0,,Fe1 Rh2 Se4,3.06
69508.0,,Ge1 Ni2 O4,3.06
28373.0,,Al1 O2 Rb1,3.07
616768.0,,Bi1 La1,3.07
23081.0,,Ba1 Fe2 S4,3.08
601038.0,,Co1 Cr2 Se4,3.08
627935.0,,Cu2 Hg1 Se4 Si1,3.08
628854.0,,Cu8 S6 Si1,3.08
67502.0,,S3 Y2,3.09
44259.0,,Cd1 Sn1 Sb2,3.11
635356.0,,Ga2 Se3,3.11
161702.0,,Hf1 O3 Pb1,3.11
56898.0,,K2 O9 Si3 Zr1,3.11
83449.0,,Al1 K1 O4 Si1,3.12
170268.0,,Ba1 N2 Si1,3.13
38271.0,,O9 Si3 Sr3,3.13
608303.0,,Al1 La3 Mn1 S7,3.14
168349.0,,Mg1 Te1,3.14
652188.0,,Se4 Y2 Zn1,3.14
608298.0,,Al1 La3 Mg1 S7,3.15
260562.0,,Ca1 In2 P2,3.15
181019.0,,Cd1 Te2 Zn1,3.15
605408.0,,Ag1 In1 S2,3.18
39272.0,,Ba1 Nb2 O6,3.18
69630.0,,In1 Na5 O4,3.18
109276.0,,Na2 O2,3.18
162216.0,,K2 O3 Ti1,3.2
79102.0,,Ba10 N12 Ti4,3.21
419595.0,,Li2 S4 Sn1 Zn1,3.21
96543.0,,P3 Sr1,3.21
402081.0,,Al1 Na3 P2,3.24
183397.0,,Al2 Hg1 Se4,3.25
23288.0,,Ba1 S3 Zr1,3.25
72921.0,,S4 V3,3.25
155115.0,,Ag1 Sc1 Se2,3.26
74968.0,,Al2 K6 O6,3.26
183983.0,,Ba2 Mg1 O7 Si2,3.26
626613.0,,Cr1 S1,3.26
23640.0,,S2 Sr1,3.26
606649.0,,Al1 Co1 S7 Y3,3.27
640036.0,,In1 Na1 S2,3.27
639984.0,,In2 Mn1 Te4,3.27
46012.0,,K2 O15 Si6 Ti1,3.27
642815.0,,Mg1 Se2,3.27
412255.0,,N6 Sr1,3.28
157375.0,,Cu2 In2 S6 Si1,3.29
628890.0,,Cu1 S7 Sn1 Y3,3.3
56081.0,,Hg1 In2 S4,3.3
171012.0,,Na3 P1,3.3
181091.0,,Ba1 O3 Sn1,3.31
88598.0,,Ba1 La2 O5 Zn1,3.32
249872.0,,Cd1 Ge1 Li2 S4,3.32
412445.0,,Na1 S7 Si1 Y3,3.32
400487.0,,Pt1 Si1 Te1,3.32
62136.0,,Ga2 K2 Na4 O6,3.33
432.0,,As1 Cd1,3.35
30916.0,,As2 Ba1 Mg2,3.35
164386.0,,Ba1 O3 Ti1,3.35
619712.0,,Cd1 Cr2 Se4,3.35
607623.0,,Al1 Fe1 S7 Y3,3.36
30912.0,,Cd2 P2 Sr1,3.36
60438.0,,K2 O1,3.36
76052.0,,Mg1 Se4 Y2,3.36
608836.0,,Al1 Ni1 S7 Y3,3.37
25640.0,,Al2 Cd1 Te4,3.37
10384.0,,Ba1 Ge3 O9 Sn1,3.37
642949.0,,Mn1 Mo6 Se8,3.37
413384.0,,O1 Si1 Sr3,3.38
16177.0,,Al6 Ca4 O13,3.39
25555.0,,Ba1 Cd1 O2,3.39
619557.0,,Ca1 S4 Y2,3.39
95121.0,,Ag4 Cd1 Ge2 S7,3.4
166540.0,,Al1 K3 O3,3.41
1144.0,,N3 Na1,3.42
80569.0,,Ir1 Se2,3.43
80328.0,,Au2 O4 Sr1,3.44
15490.0,,Cu3 S4 V1,3.46
71965.0,,Au2 O8 Sr5,3.47
16223.0,,Cd2 K2 O3,3.48
27182.0,,S4 Sc2 Sr1,3.48
416407.0,,Au3 P7 Sn1,3.49
23525.0,,Ge1 Mg2 S4,3.49
47105.0,,Cu1 K1 Na2 O2,3.51
620411.0,,Cd1 Sc2 Se4,3.52
26286.0,,K1 Nb1 S2,3.52
59308.0,,O3 Si1 Sr1,3.52
656152.0,,Cu2 Hg1 Si1 Te4,3.53
260563.0,,In2 P2 Sr1,3.53
25550.0,,K3 P1,3.53
44888.0,,Ga2 Te4 Zn1,3.54
61496.0,,Ge1 Na4 O4,3.54
404761.0,,Na2 O2 Zn1,3.54
659362.0,,Ag1 In1 Se2,3.55
73873.0,,Au1 La1 O3,3.56
616071.0,,Ba1 S3 Sn1,3.56
201713.0,,Ag2 Hg1 S2,3.58
620305.0,,Cd1 S2,3.58
97966.0,,Cu2 Se3 Sn1,3.58
247476.0,,O7 Si2 Sr2 Zn1,3.58
14373.0,,Al2 Se3,3.59
25647.0,,In2 Se4 Zn1,3.59
91282.0,,Li2 S1,3.59
78753.0,,Na1 O3 Rb1 Ti1,3.59
28746.0,,Ag1 Al1 Te2,3.6
609280.0,,Al2 S4 Zn1,3.6
81886.0,,Cr3 S4,3.6
83712.0,,Ga2 Hg1 Se4,3.6
52111.0,,S1 Sr1,3.6
157775.0,,Ba1 O5 Ti2,3.61
409010.0,,Na1 P1 Sn1,3.64
608322.0,,Al1 La3 S7 Ti1,3.65
250123.0,,Ga2 Ge4 O14 Pb3,3.65
380401.0,,In1 K1 O2,3.65
107165.0,,S1 Zn1,3.65
52509.0,,Te1 V1,3.65
88517.0,,Fe2 S4 Si1,3.67
65740.0,,Ge2 K2 O6 Zn1,3.67
25595.0,,Ca2 Si1,3.68
24249.0,,O2 Sr1,3.68
192470.0,,Ag1 Fe2 Ga1 Te4,3.69
152792.0,,Cu1 S7 Si1 Y3,3.69
419164.0,,Ge2 N6 Sr5,3.69
23265.0,,Mn2 S4 Sn1,3.69
166998.0,,Ba1 Na1 O7 Sc1 Si2,3.7
626755.0,,Cr2 Se4 Zn1,3.7
76543.0,,Na1 S2 Y1,3.7
94743.0,,K1 La1 Na1 Nb1 O5,3.71
78483.0,,Ba1 O4 Y2,3.72
20114.0,,Na2 O8 Si3 Zn1,3.72
181280.0,,O2 Sn1,3.72
16806.0,,O4 Pb1 Sr2,3.72
418460.0,,Ba3 O8 V2,3.73
31201.0,,K2 O9 Si4,3.74
166442.0,,Fe1 Se1,3.75
33235.0,,Na2 S2 Zn1,3.75
79802.0,,Au2 Ca1 O4,3.77
606347.0,,Al2 Cd1 Se4,3.78
261226.0,,Mg1 O7 Si2 Sr2,3.79
25556.0,,O2 Sr1 Zn1,3.79
182051.0,,Ca2 Ge1 O4,3.8
67386.0,,Co1 Na2 S2,3.8
87118.0,,Ba3 O9 Y4,3.81
74407.0,,Mn1 Sc2 Se4,3.81
100063.0,,Ca1 Cd2 P2,3.82
74193.0,,K2 La2 O10 Ti3,3.82
164965.0,,Ag1 I1,3.83
69621.0,,Na4 O4 Ti1,3.83
21080.0,,Al2 Ba1 O4,3.84
84196.0,,Ga1 Nb4 Se8,3.85
16241.0,,In2 O4 Sr1,3.85
654308.0,,S3 Sc2,3.86
608538.0,,Al2 Mn1 Te4,3.87
73220.0,,Al2 S3,3.87
656165.0,,Cu1 Ga1 Te2,3.88
81552.0,,Ga1 Mg1 S4 Sc1,3.88
44957.0,,Li1 S2 Y1,3.9
6161.0,,Na6 O4 Zn1,3.92
629076.0,,Cu2 Se4 Si1 Zn1,3.93
164620.0,,Hf1 O3 Sr1,3.93
27181.0,,Ca1 S4 Sc2,3.94
67530.0,,Cu1 Fe2 S3,3.95
627936.0,,Cu2 Hg1 Se4 Sn1,3.95
656151.0,,Cd1 Cu2 Si1 Te4,3.96
419312.0,,Ba2 Ge2 Mg1 O7,3.97
42538.0,,Co3 Se4,3.97
74854.0,,Ca5 P8,3.98
183705.0,,Ag2 S4 Si1 Zn1,4.01
108215.0,,Cd1 In2 S4,4.01
83362.0,,O14 Si4 Sr2 Ti2,4.01
76218.0,,Mn1 Se1,4.02
181089.0,,O3 Sn1 Sr1,4.02
170108.0,,Ag1 Cd2 Ga1 S4,4.03
34803.0,,Al4 O7 Sr1,4.03
642814.0,,Mg1 Sc2 Se4,4.04
35667.0,,O4 Si1 Sr2,4.04
47177.0,,K1 Na1 O3 Ti1,4.05
31960.0,,O2 Rb1 Sc1,4.05
24131.0,,K2 O3 Sn1,4.09
27001.0,,K1 La1 O2,4.11
30859.0,,Cd2 Ge1 O4,4.14
404913.0,,Na2 O3 Zn2,4.14
28901.0,,Se1 Sr1,4.14
605211.0,,Ag1 Ga1 Se2,4.16
603125.0,,Ga1 Se8 V4,4.17
25701.0,,O4 Sr1 Y2,4.18
609325.0,,Al2 Se4 Zn1,4.19
413385.0,,Ge1 O1 Sr3,4.19
34630.0,,O10 Sr4 Ti3,4.23
73002.0,,S8 V5,4.23
30908.0,,Cd1 Ga2 Se4,4.24
413432.0,,K3 O7 Sc1 Si2,4.26
15500.0,,Na4 O4 Si1,4.27
25639.0,,Al2 Te4 Zn1,4.28
97462.0,,Ba1 O3 Zr1,4.29
163230.0,,O4 Sn2 Ti1,4.29
656150.0,,Cu2 Si1 Te4 Zn1,4.32
180186.0,,Hf5 K4 O12,4.32
34629.0,,O7 Sr3 Ti2,4.32
24485.0,,As2 Mg3,4.33
23170.0,,Cd3 O5 Si1,4.33
641844.0,,La1 S3 Sc1,4.33
656157.0,,Cd1 Cu2 Sn1 Te4,4.36
645331.0,,Nb3 S6 Ti1,4.37
620210.0,,Cd1 P2,4.39
34603.0,,K2 O2 Zn1,4.39
52273.0,,Cu1 F1,4.43
99177.0,,Na1 P5,4.45
83534.0,,Al1 K1 O8 Si3,4.46
28741.0,,Cu1 In1 Te2,4.47
85497.0,,Ge1 Na1 O4 Y1,4.47
2496.0,,K2 O7 Zn6,4.49
151883.0,,Al1 K1 O2,4.5
43358.0,,As2 Cd1 Sn1,4.51
81100.0,,Ca3 O5 Si1,4.51
627928.0,,Cu2 Hg1 S4 Si1,4.52
166516.0,,Ca1 O6 V2,4.55
626165.0,,Cr2 Hg1 S4,4.55
610829.0,,As1 Mg1 Na1,4.57
100041.0,,As2 Ca1 Mg2,4.57
87825.0,,Ca1 O3 Pb1,4.57
167189.0,,O4 Si1 Zn2,4.58
61697.0,,Cd1 S4 Y2,4.59
643019.0,,Mn1 Nb3 S6,4.59
20225.0,,Cd1 Ge1 O3,4.6
35008.0,,Fe1 S1,4.6
620518.0,,Cd1 Te1,4.61
2740.0,,Na1 O2 Y1,4.61
23286.0,,Ca1 S3 Zr1,4.64
607139.0,,Al1 Cu1 Te2,4.66
65337.0,,Ge2 In1 K1 O6,4.66
409177.0,,As1 Ca1 Rb1,4.67
616053.0,,Ba1 S1,4.67
23731.0,,O7 Sr3 Zr2,4.68
250124.0,,Ba3 Ga2 Ge4 O14,4.7
250247.0,,Cu2 In2 Se4,4.7
65710.0,,Mn2 S4 Si1,4.7
26285.0,,Na1 Nb1 S2,4.71
154409.0,,Cu1 In1 Se2,4.73
415.0,,Ga2 Mn1 Se4,4.73
10385.0,,Ba1 O9 Si3 Sn1,4.74
18098.0,,Ca2 O9 Pb1 Si3,4.74
423781.0,,Ca3 Ga2 P4,4.75
639944.0,,In2 Mg1 S4,4.76
184487.0,,Te1 Zn1,4.76
16721.0,,Cr2 S3,4.77
88236.0,,Cu2 Se3 Si1,4.77
30911.0,,P2 Sr1 Zn2,4.77
23422.0,,S3 Sc1 Y1,4.77
26515.0,,S1 V3,4.79
170443.0,,Ga3 N5 Sr3,4.8
619784.0,,Cd1 Cu2 Se4 Sn1,4.81
644317.0,,Mo6 S8 Y1,4.81
2529.0,,Ba1 Fe4 O7,4.82
36629.0,,Ca2 O4 Pb1,4.82
619783.0,,Cd1 Cu2 Se4 Si1,4.83
423780.0,,Al2 Ca3 P4,4.84
87157.0,,Fe2 Sc1 Si2,4.84
628399.0,,Cu2 Mn1 Se4 Sn1,4.85
650722.0,,Ru1 Te2,4.86
15991.0,,Mn1 S2,4.87
8014.0,,Au2 O3,4.89
652164.0,,Se1 V1,4.9
80568.0,,Ir1 S2,4.91
26261.0,,Ca1 P1,4.93
41995.0,,Fe1 S2,4.93
69739.0,,Hg1 O2 Sr1,4.93
629097.0,,Cu2 Se4 Sn1 Zn1,4.94
30914.0,,Ba1 Mg2 P2,5.01
152762.0,,Cu2 Ge1 Hg1 S4,5.01
23526.0,,Fe2 Ge1 S4,5.01
12148.0,,In2 S3,5.02
29153.0,,O3 Sr1 Zr1,5.03
163834.0,,As4 Sn3,5.04
153595.0,,Cd1 Ge1 As2,5.05
80129.0,,Ga2 O4 Pb1,5.05
34325.0,,Na2 O7 Si2 Zn2,5.05
422525.0,,Ca1 Ga2 P2,5.06
412259.0,,Ca1 N6,5.06
420522.0,,Ge2 Mg1 O7 Sr2,5.07
651411.0,,S4 Y2 Zn1,5.07
33943.0,,Na4 O9 Si3 Sr1,5.09
99296.0,,Co1 Cu2 Se4 Sn1,5.12
604704.0,,Ag1 Al1 Se2,5.13
42406.0,,Cr1 K1 S2,5.13
182763.0,,O3 Sr1 Ti1,5.13
160047.0,,Cu1 Fe2 In1 Se4,5.14
85126.0,,Cu2 Fe1 Se4 Sn1,5.15
651586.0,,Sn1 Zn1 Sb2,5.15
91762.0,,Cu2 S3 Sn1,5.18
59303.0,,Ge1 O3 Sr1,5.18
82558.0,,Cu4 S4 Ti1,5.2
181464.0,,Mg1 O1,5.2
24426.0,,Ba1 Ca2 O9 Si3,5.24
415453.0,,Cu2 Ge1 Mn1 S4,5.26
98276.0,,Ba1 N7 Si4 Y1,5.27
626368.0,,Cr1 Na1 S2,5.27
76541.0,,Na1 S2 V1,5.27
26150.0,,Cd1 Cu2 Ge1 S4,5.29
626279.0,,Cr2 Mn1 S4,5.3
167662.0,,Fe1 Si2,5.31
52212.0,,S1 V1,5.31
29149.0,,Ca1 O3 Sn1,5.32
74479.0,,Ca1 P3,5.34
42534.0,,Ag2 Fe1 S4 Sn1,5.38
261365.0,,K1 La1 O4 Ti1,5.39
169726.0,,Ca3 N2,5.4
608160.0,,Al2 Hg1 S4,5.43
250015.0,,P2 Zn1,5.43
420521.0,,Ge2 O7 Sr2 Zn1,5.45
184053.0,,Ba1 Hf1 N2,5.46
281233.0,,Cd1 Na2 S4 Sn1,5.48
40815.0,,As1 K1 Sn1,5.49
170772.0,,Al1 La1 O3,5.5
605734.0,,Ag2 S4 Sn1 Zn1,5.51
49651.0,,O2 Rb1 Y1,5.52
651447.0,,S2 Zn1,5.52
16924.0,,Cd1 Cu2 S4 Si1,5.53
182052.0,,Ca2 O4 Si1,5.54
168594.0,,Ga2 Se4 Zn1,5.55
181275.0,,O1 Sr1,5.56
24132.0,,Cu2 S3 Si1,5.6
422406.0,,Ba1 Ca2 Mg1 O8 Si2,5.63
170657.0,,Ga1 Nb4 S8,5.63
67220.0,,Ga2 Hg1 S4,5.64
80455.0,,Ca1 Ge1 Mg1 O4,5.66
93409.0,,Cu2 Ge1 Se4 Zn1,5.66
627313.0,,Cu2 Fe1 Ge1 Se4,5.68
160220.0,,La2 O3,5.68
150459.0,,N7 Si4 Sr1 Y1,5.68
409188.0,,P5 Y1,5.69
655009.0,,Co2 Ge3 S3,5.7
100064.0,,As2 Ca1 Zn2,5.71
158198.0,,Ga1 Mo4 S8,5.77
281260.0,,Ga1 N5 Sr6,5.77
657592.0,,Cd1 Cr2 S4,5.79
43268.0,,Cr2 Fe1 S4,5.79
649595.0,,Pt1 Se1 Si1,5.79
22503.0,,Ge2 Na1 O6 Sc1,5.8
247513.0,,Cu1 Ga1 Se2,5.82
34600.0,,In1 Na1 O2,5.83
627930.0,,Cu2 Hg1 S4 Sn1,5.85
14024.0,,K4 O12 Zr5,5.86
637646.0,,Ge1 Pt1 S1,5.87
24664.0,,Na2 O3 Si1,5.88
80067.0,,Ba1 O9 Si4,5.9
20161.0,,Na1 O4 Si1 Y1,5.91
94994.0,,Cd1 S4 Sc2,5.95
19027.0,,K2 O9 Si3 Sn1,5.98
96463.0,,Ca1 Ga1 La1 O4,5.99
76314.0,,Ge1 Na2 O4 Zn1,5.99
162252.0,,Ga2 O3,6.03
619750.0,,Cd1 Cu2 Ge1 Se4,6.04
41662.0,,Ca1 Ga2 O4,6.05
183835.0,,Ba1 Hf1 O9 Si3,6.06
36151.0,,Cd1 O2,6.08
401501.0,,Ba2 N8 Si5,6.14
4121.0,,O3 Pb1 Sr1,6.16
22029.0,,In2 O5 Sr2,6.17
81851.0,,O4 Sn1 Sr2,6.19
622504.0,,Co1 Cr2 S4,6.2
162923.0,,Ca1 O3 Ti1,6.21
29003.0,,Ca1 O3 Zr1,6.21
36563.0,,Ga1 Mo4 Se8,6.21
172471.0,,N1 Na1 Sn1,6.21
68465.0,,Ga1 Li1 S2,6.26
240442.0,,Ca1 O3 Si1,6.27
251.0,,In1 O3 Y1,6.27
20402.0,,Ge2 Na2 O7 Zr1,6.28
156643.0,,Ag1 Fe1 S2,6.29
100062.0,,Ca1 P2 Zn2,6.29
23878.0,,O13 Rb2 Ti6,6.3
41711.0,,Ag2 Ge1 S3,6.31
36652.0,,Ga1 Na1 O2,6.34
161849.0,,Cr1 Na1 O8 W2,6.39
16884.0,,Cr2 Ni1 S4,6.39
610627.0,,Ge1 Zn1 As2,6.39
627368.0,,Cu2 Fe1 Se4 Si1,6.43
53956.0,,Sn1 Te1,6.43
619571.0,,Ca1 Se1,6.44
69853.0,,Ba2 S4 Zr1,6.45
27533.0,,Mg2 O4 Si1,6.46
631817.0,,Fe1 Ga2 Se4,6.47
605184.0,,Ag1 Ga1 S2,6.49
608360.0,,Al1 Li1 S2,6.49
85138.0,,Cu2 Ge1 S3,6.49
96026.0,,Cr1 Si2,6.5
624840.0,,Co3 S4,6.55
170442.0,,Ca3 Ga2 N4,6.56
160089.0,,Ga1 La2 N3,6.58
172879.0,,Ca4 N4 Ti1,6.59
415784.0,,Cd1 Se1,6.59
609931.0,,As2 Cd1,6.61
49650.0,,K1 O2 Y1,6.62
415452.0,,Cu2 Mn1 S4 Si1,6.64
160235.0,,Ga1 La1 O3,6.65
56382.0,,Ge1 O4 Sr2,6.69
74944.0,,Cu1 In1 O8 W2,6.72
15344.0,,Rh2 S3,6.72
36185.0,,Ba1 O9 Si3 Ti1,6.77
164168.0,,Cr2 S4 Zn1,6.79
170266.0,,N2 Si1 Sr1,6.79
9011.0,,Ca2 O4 Sn1,6.8
23781.0,,Ge1 Na2 O3,6.81
4442.0,,Ca3 O9 Si3,6.83
261367.0,,Cu2 S4 Si1 Zn1,6.83
26466.0,,Al2 O4 Sr1,6.86
202606.0,,Ge2 La2 O7,6.88
644917.0,,Na2 O1,6.89
24866.0,,Na2 O7 Si2 Zr1,6.9
414462.0,,Ca5 N6 Si2,6.92
100832.0,,Mn1 S4 Sc2,6.94
100527.0,,Fe1 S4 Sc2,6.98
16886.0,,Ca1 O4 Sc2,7.01
650610.0,,Ru1 Se2,7.01
43025.0,,Al2 Cd1 S4,7.03
237068.0,,Be1 Si1 Sb2,7.03
620246.0,,Cd1 P2 Sn1,7.03
25812.0,,Ba1 O2 Zn1,7.05
619773.0,,Cd1 Cu2 S4 Sn1,7.06
163436.0,,Cu1 I1,7.08
69297.0,,Cd2 O4 Sn1,7.09
650850.0,,S4 Sc2 Zn1,7.09
33532.0,,Al2 O4 Pb1,7.14
31783.0,,Ba1 O9 Ti4,7.19
74904.0,,Ba1 N2 Zr1,7.2
165740.0,,Cu1 Al1 Se2,7.21
34958.0,,K1 O2 Sc1,7.21
80376.0,,N2 Sr2 Zn1,7.23
604981.0,,Ag1 Cr1 S2,7.26
159740.0,,Cd1 In2 O4,7.26
166167.0,,Ba1 Ga1 La1 O4,7.3
42493.0,,Ni1 S1,7.3
106362.0,,Cd1 Ga2 S4,7.31
202286.0,,Ca1 Mg1 O4 Si1,7.32
71354.0,,Hf1 O2,7.38
182368.0,,Mg1 Ge1 As2,7.38
25712.0,,K2 O13 Ti6,7.42
89455.0,,La1 O3 Y1,7.46
237071.0,,Mg1 Si1 Sb2,7.49
23877.0,,Na2 O13 Ti6,7.51
420413.0,,Ga1 Ge1 N1 Sr2,7.58
410579.0,,Al1 Ca3 N3,7.59
88589.0,,Ba1 O7 Si2 Zn2,7.64
628051.0,,Cu1 In1 S2,7.64
280349.0,,Al2 Ca3 N4,7.7
609980.0,,As2 Cd1 Si1,7.76
37423.0,,Mg1 S4 Sc2,7.76
26766.0,,Pd1 S1,7.78
108230.0,,Cd1 S1,7.81
40372.0,,Ca5 Ga2 N4,7.85
83455.0,,Ca2 O6 Si1 Ti1,7.87
16160.0,,Na2 O6 Si2 Zn1,7.87
24489.0,,Mg3 P2,7.88
627358.0,,Cu2 Fe1 S4 Sn1,7.9
628379.0,,Cu2 Mn1 S4 Sn1,7.95
34565.0,,Na2 O4 Si1 Zn1,8.0
97016.0,,Ge1 La2 Mg1 O6,8.01
27115.0,,Ba2 O4 Sn1,8.03
262388.0,,Cu2 S4 Sn1 Zn1,8.06
73937.0,,Ba2 In2 O5,8.07
53946.0,,Mg1 Se1,8.07
10032.0,,Al1 P3 Si1,8.1
99294.0,,Co1 Cu2 S4 Sn1,8.12
53108.0,,Cr4 Cu1 Fe1 S8,8.19
153818.0,,O7 Y2 Zr2,8.19
201664.0,,Ge1 Mg1 O3,8.24
183786.0,,In1 Na1 O6 Si2,8.3
78487.0,,La2 Na2 O10 Ti3,8.32
608509.0,,Al2 Mn1 S4,8.33
4136.0,,Ca2 Hf7 O16,8.34
15463.0,,Na2 O7 Ti3,8.35
181828.0,,O3 Y2,8.35
604698.0,,Ag1 Al1 S2,8.41
201439.0,,Co2 Na5 S5,8.43
261847.0,,Ca1 O1,8.47
152909.0,,Ga2 Mn1 S4,8.49
41415.0,,Ge1 Mg2 O4,8.5
157770.0,,In2 Mg1 O4,8.64
40428.0,,P4 Zn1,8.64
106265.0,,As1 La1,8.69
113.0,,Mg1 P4,8.75
260415.0,,La1 Mn7 O12,8.77
75583.0,,La2 O9 Si1 Ti2,8.79
23039.0,,Cd1 Ge2 O5,8.83
91765.0,,La4 O12 Ti3,8.83
657299.0,,Cd1 Ge1 P2,8.84
88852.0,,Au1 Cr1 S2,8.89
184466.0,,Zn1 Sn1 P2,8.89
247969.0,,Hg1 Si1 P2,8.93
151585.0,,Ca1 Ge2 O5,8.97
78275.0,,Cu1 Br1,8.98
55416.0,,Ga5 La3 O14 Sn1,9.03
25611.0,,La2 Mo1 O6,9.03
50404.0,,O3 Sn1 Zn1,9.03
168048.0,,Ca1 O6 Si2 Zn1,9.05
635286.0,,Ga1 S6 Y3,9.06
81134.0,,Na2 O7 Si3,9.07
611417.0,,Si1 Zn1 As2,9.07
155086.0,,Ga1 O6 Y3,9.18
62490.0,,Al1 Ba1 La1 O4,9.21
172781.0,,Al2 Ca1 O4,9.33
21085.0,,Mg3 O8 V2,9.35
20129.0,,Ge1 Na2 O5 Ti1,9.36
51545.0,,Ca2 Ga2 O5,9.44
52961.0,,Co1 Ga2 S4,9.46
182367.0,,As2 Mg1 Si1,9.5
9672.0,,Ca1 Mg1 O6 Si2,9.5
281549.0,,In1 La1 O3,9.5
89525.0,,N4 Sn3,9.5
641457.0,,La1 Mo6 S8,9.57
627306.0,,Cu2 Fe1 Ge1 S4,9.59
627794.0,,Cu2 Ge1 S4 Zn1,9.6
99293.0,,Co1 Cu2 Ge1 S4,9.69
63242.0,,Ga2 S4 Zn1,9.7
10316.0,,Ga4 O7 Sr1,9.73
15619.0,,Mg1 Na2 O4 Si1,9.74
8294.0,,La1 O4 V1,9.82
161025.0,,Cd2 O4 Si1,9.87
184695.0,,Mg1 O4 Ti2,9.9
80717.0,,Ca1 Hg1 O2,9.93
28736.0,,Cu1 Ga1 S2,9.96
60763.0,,O2 Zn1,9.96
159739.0,,Cd1 Ga2 O4,10.04
33795.0,,Ca6 Ga1 N5,10.05
78718.0,,Au2 S1,10.07
380305.0,,Ga1 In1 O5 Zn2,10.07
